Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
Cu-Tot,ICP-MS,mg/l,Copper - Total,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,"A sample is preserved in the field with nitric acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions."
Cu-Tot,ICP-MS-CVD,mg/l,Copper - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Cu-Tot,ICP-SFMS-CVD,mg/l,Copper - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
DBA,LLE-HPLC-FD-UVD,µg/l,"1,2:5,6-Dibenzoanthracene",Liquid-Liquid Extraction High Performance Liquid Chromatography and Fluorescence/UV-Detector,Chromatography,SM 6440 B,APHA 2012,"Mark the water meniscus on the side of the sample bottle for later determination of volume. Pour entire sample into a 2-L separatory funnel and extract. Separation and clean-up is by means of a silica-gel column. Add 4mL acetonitrile and concentrate the extract in a 95-100°C water bath using a micro-Snyder column. Rinse column with 0.2 mL acetonitrile. Adjust final extract volume to 1.0mL. After the operating conditions are met, proceed with calibration and sample analysis. If the internal standard calibration procedure is being used, add internal standard to sample extract and mix thoroughly. Immediately inject 5 to 25µL sample extract or standard into HPLC using a high pressure syringe or constant-volume sample injection loop. Record volume injected to nearest 0.1 µL and resulting peak size in area or peak height units. Re-equilibrate HPLC column at initial gradient conditions for at least 10 minutes between injections. Identify compounds in sample by comparing peak retention times with peaks of standard chromatograms."
DDT,LLE-GC-ECD,µg/l,Total Dichloro-Diphenyl-Trichloroethanes,Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector,Chromatography,SM 6630 B,APHA 2012,"A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantified, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivitization techniques, thin layer chromatograpgy (TLC), or mass spectrometry (MS).~r~n Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.~r~n The method detection limit is 0.001 µg/L."
DIELDRIN,LLE-GC-ECD,µg/l,Dieldrin,Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector,Chromatography,SM 6630 B,APHA 2012,"A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantified, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry.~r~n Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.~r~n The method detection limit is 0.005 µg/L."
DIP,COL-AA-SA-NA,mg/l,Dissolved Inorganic Phosphorus,Ascorbic Acid Method with Preliminary H2SO2 or HNO3 Hydrolysis,Colorimetry,SM 4500-P B/E,APHA 1998,"A sample filtrate is digested by boiling gently with dilute H2SO4/HNO3 solution for at least 90 minutes, and then mixed with ammonium molybdate, antimonyl tartrate and ascorbic acid solution to form a molybdenum blue complex. The resulting blue colour is measured spectrometrically at 880 nm and compared to identically-prepared phosphorus standard and blank solutions. For highly coloured or turbid samples, the blank is prepared by adding all reagents except ascorbic acid and antimonyl tartrate to a duplicate sample aliquot."
DIP,COL-SnCl-SA,mg/l,Dissolved Inorganic Phosphorus,Stannous Chloride Method with Preliminary H2SO4 Hydrolysis,Colorimetry,SM 4500-P B/D,APHA 2012,"A sample is preserved in the field with 0.2% H2SO4. The shaken sample aliquot is autoclaved with H2SO4 for 30 minutes at 121°C. The aliquot is then mixed with ammonium molybdate to form the heteropoly molybdophosphoric acid and is reduced with stannous chloride, in an aqueous sulphuric acid medium, at 30°C, to form a molybdenum blue complex. The resulting molybdenum blue complex is measured spectrometrically at 660 nm and compared to identically-prepared standard and blank solutions."
DIP,PO4-COL-ANS-Dcn,mg/l,Dissolved Inorganic Phosphorus,"Automated Colourimetry (Aminonaphtholsulphonic Acid), Decanted",Colorimetry,ENV 555,Environment Canada 1995,A turbid sample is decanted. Colourimetry proceeds on an autoanalyzer with ammonium molybdate and aminonaphtholsulphonic acid after passing through heating bath with H2SO4 at 90°C shaken sample.
DIP,PO4-COL-ANS-Flt,mg/l,Dissolved Inorganic Phosphorus,"Automated Colourimetry (Aminonaphtholsulphonic Acid), Filtered",Colorimetry,ENV 561,Environment Canada 1995,"The sample is passed through a 0.45µ membrane filter. In an autoanalyzer, the filtrate is mixed with ammonium molybdate and aminonaphtholsulphonic acid after passing through a heating bath with H2SO4 at 90°C."
DOC,DOC-COL-UV,mg/l,Dissolved Organic Carbon,Colourimetry with UV oxidation (DOC),Colorimetry,,"Gravelet-Blondin et al, 1980","The sample stream is segmented with CO2-free air, acidified, heated and sparged with nitrogen gas to remove the inorganic carbon. After re-sampling and air segmentation, persulphate and mercury(II) nitrate solutions are added and the mixed liquid stream is pumped through a quartz coil where it is exposed to a low intensity ultraviolet light, used as a source of energy. This process oxidizes the dissolved organic carbon to CO2 which by means of a gas permeable silicon membrane is dissolved in a weakly buffered thymol blue indicator solution. The colour change of the acid-base indicator is measured at 590 nm and is proportional to the concentration of dissolved organic carbon in a water sample."
DOC,HTC-NDI,mg/l,Dissolved Organic Carbon,High Temperature Combustion Method with Non-dispersive Infrared Analyzer,Spectroscopy,SM 5310 B,APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter. A small volume is injected into a combustion tube at 950°C containing Cobalt oxide on asbestos. The resulting CO2 is measured by an IR analyzer and compared with organic carbon standard and blank solutions to give the total dissolved C (DC). An identical volume is injected into a combustion tube at 150°C containing 85% H3PO4 on quartz chips. The resulting CO2 (DIC) is measured by an IR analyzer and compared to identically-prepared inorganic carbon standard and blank. The dissolved organic C (DOC) is calculated by difference.~r~n~r~nDOC = DC - DIC
DOC,HTC-NDI-Auto,mg/l,Dissolved Organic Carbon,High-Temperature Combustion Method with Automated Non-dispersive Infrared Analyzer,Spectroscopy,SM 5310 B,APHA 2012,"Total dissolved carbon is analyzed by injecting a filtered whole water sample onto a platinum catalyst packed combustion tube kept at 680°C. The CO2 formed, which is proportional to the total dissolved carbon in the sample, is measured on a non-dispersive infrared detector. Dissolved inorganic carbon is then analyzed by injecting an identical filtered whole water sample into an inorganic reaction vessel containing 25% phosphoric acid. The CO2 formed represents the dissolved inorganic carbon in the sample and is determined by a non-dispersive infrared detector. Calculation of the dissolved organic carbon is obtained by subtracting the dissolved inorganic carbon from the total dissolved carbon.~r~n~r~nDOC = DC - DIC"
DOC,NDI-BECK915,mg/l,Dissolved Organic Carbon,Non-dispersive Infrared Spectroscopy (Beckman 915 TOC Analyzer),Spectroscopy,STAR 226,Environment Canada 2007,A Beckman 915 Total Organic Carbon (TOC) analyzer.
DOC,NDI-BO,mg/l,Dissolved Organic Carbon,Infrared analysis - Burning Oxidation,Spectroscopy,JIS K 0102 22.1,JSA 1998,"Inject a small amount of filtered sample into a high-temperature measuring tube for total carbon together with carbon dioxide-free air or oxygen. The organic carbon (organic matter) and inorganic carbon (mostly carbonate) in the sample convert to carbon dioxide which is measured in a non-dispersive infrared gas analyzer to find the Total Carbon (TC). Inject a separate sample into a measuring tube for inorganic carbon, which has been kept at a temperature that is low enough not to decompose the organic matter. Measure the carbon dioxide to find the Total Inorganic Carbon (TIC). Subtract TIC from TC to get Total Organic Carbon (TOC)."
